-,-,-
--start---
69, 88, 1005
49, 90, 993
31, 66, 1025
37, 34, 979
0, 41, 994
0, 41, 994
20, -59, 994
33, -114, 1015
16, -84, 993
16, -84, 993
23, -95, 989
29, -8, 992
21, -1, 1026
21, -1, 1026
52, -57, 972
65, -176, 1026
54, -293, 997
76, -379, 1002
70, -436, 994
70, -436, 994
77, -512, 993
-,-,-
8, 291, 997
-28, 346, 986
1, 321, 986
1, 321, 986
39, 263, 1004
40, 181, 1020
47, 207, 998
30, 212, 1010
36, 208, 1001
36, 208, 1001
53, 133, 981
54, 49, 1024
28, 62, 996
28, 62, 996
33, 21, 960
35, -84, 1013
32, -148, 991
35, -226, 995
35, -226, 995
46, -183, 1024
27, -237, 987
74, -352, 1009
53, -402, 964
84, -470, 1012
102, -493, 997
119, -357, 978
119, -357, 978
-,-,-
68, 402, 942
50, 271, 986
50, 271, 986
70, 250, 996
53, 231, 972
43, 173, 1033
40, 194, 928
40, 194, 928
46, 150, 1024
76, -72, 994
33, -48, 997
23, -138, 1019
33, -195, 966
33, -195, 966
23, -183, 1005
24, -118, 999
29, -235, 969
64, -298, 1008
56, -389, 998
95, -432, 961
95, -432, 961
98, -472, 1027
-,-,-
2, 341, 986
2, 341, 986
30, 315, 1015
30, 316, 997
14, 257, 984
14, 257, 984
41, 203, 1001
59, 94, 1010
74, -11, 996
64, -43, 992
64, -43, 992
71, 36, 994
35, -10, 999
64, -112, 985
64, -112, 985
64, -126, 1017
70, -123, 965
66, -161, 1055
53, -130, 981
59, -203, 1009
31, -327, 990
34, -488, 986
34, -488, 986
-,-,-
55, 428, 966
55, 428, 966
26, 346, 1013
36, 253, 999
41, 175, 1013
28, 219, 1002
47, 159, 1009
47, 159, 1009
52, 133, 985
76, 80, 998
58, 0, 1021
58, 0, 1021
37, 4, 982
26, 56, 993
36, -41, 986
36, -41, 986
18, -111, 997
34, -190, 1019
36, -177, 996
47, -208, 982
50, -207, 1012
50, -207, 1012
39, -218, 988
56, -225, 1011
59, -266, 999
44, -339, 1002
77, -435, 986
-,-,-
-48, 380, 1002
-9, 275, 977
21, 247, 1007
22, 208, 1041
41, 189, 987
41, 189, 987
24, 175, 1001
30, 164, 992
39, 37, 1031
56, -71, 950
56, -71, 950
32, -44, 989
18, -27, 1012
26, -18, 1032
40, -45, 974
35, -26, 983
35, -26, 983
22, -36, 1004
61, -92, 998
26, -97, 1018
82, -171, 985
82, -171, 985
48, -287, 981
44, -315, 990
59, -535, 993
94, -613, 991
138, -358, 999
-,-,-
35, 311, 988
26, 241, 1001
56, 259, 995
38, 231, 1000
51, 162, 1020
51, 162, 1020
35, 113, 996
43, 82, 1000
51, -1, 969
48, -5, 1034
48, -5, 1034
34, -22, 1001
7, -7, 1001
-9, 39, 984
-9, 39, 984
